#         eV      barn        eV      barns         eV      barns
# 
 2.330300e+6 2.410190e+0 2.331400e+6 2.389390e+0 2.332740e+6 2.364060e+0
 2.335190e+6 2.227990e+0 2.337400e+6 2.297290e+0 2.339370e+6 2.337250e+0
 2.341340e+6 2.277710e+0 2.343310e+6 2.366310e+0 2.345290e+6 2.319640e+0
 2.347260e+6 2.301770e+0 2.349240e+6 2.424100e+0 2.351220e+6 2.367530e+0
 2.353210e+6 2.366300e+0 2.355190e+6 2.363210e+0 2.356300e+6 2.371660e+0
 2.357180e+6 2.378340e+0 2.359170e+6 2.415280e+0 2.361170e+6 2.426080e+0
 2.363160e+6 2.414340e+0 2.365160e+6 2.480930e+0 2.366670e+6 2.590580e+0
 2.367670e+6 2.605550e+0 2.368670e+6 2.665360e+0 2.369670e+6 2.860140e+0
 2.370400e+6 2.996470e+0 2.370680e+6 3.048770e+0 2.371680e+6 3.402190e+0
 2.372680e+6 3.780130e+0 2.373690e+6 4.003170e+0 2.374700e+6 4.025580e+0
 2.375700e+6 3.776480e+0 2.376710e+6 3.398980e+0 2.376900e+6 3.348530e+0
 2.377720e+6 3.130760e+0 2.378730e+6 2.844350e+0 2.379740e+6 2.731680e+0
 2.380750e+6 2.622490e+0 2.381760e+6 2.535790e+0 2.383270e+6 2.450700e+0
 2.385300e+6 2.354390e+0 2.387320e+6 2.301670e+0 2.387800e+6 2.303140e+0
 2.389350e+6 2.307800e+0 2.391390e+6 2.291090e+0 2.393420e+6 2.149340e+0
 2.395460e+6 2.145790e+0 2.397500e+6 2.157330e+0 2.399540e+6 2.179810e+0
 2.401590e+6 2.141960e+0 2.402900e+6 2.194140e+0 2.403640e+6 2.223610e+0
 2.405690e+6 2.134010e+0 2.407740e+6 2.180300e+0 2.409800e+6 2.062790e+0
 2.411860e+6 2.077000e+0 2.413920e+6 2.102320e+0 2.415980e+6 2.077560e+0
 2.418050e+6 2.066650e+0 2.420120e+6 2.031050e+0 2.422190e+6 2.037960e+0
 2.424270e+6 2.092520e+0 2.425700e+6 2.081990e+0 2.426340e+6 2.077280e+0
 2.428420e+6 2.069200e+0 2.430510e+6 2.116290e+0 2.432590e+6 2.082640e+0
 2.434680e+6 1.963040e+0 2.436770e+6 1.934780e+0 2.438860e+6 1.810670e+0
 2.440960e+6 1.662260e+0 2.441900e+6 1.647860e+0 2.443060e+6 1.630100e+0
 2.445160e+6 1.782290e+0 2.447260e+6 1.995070e+0 2.449370e+6 2.419690e+0
 2.451480e+6 2.634060e+0 2.453590e+6 3.011080e+0 2.455710e+6 3.307220e+0
 2.457830e+6 3.491880e+0 2.459300e+6 3.578630e+0 2.459950e+6 3.616980e+0
